location_group,location_type,location_code,location,latitude,longitude
Mobil,Metrobus,Metrobus-M4669,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-T1047,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-M2013,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M4595,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-M2063,IETT Otobus,0.0000000000,0.0000000000
Diger,AvrupaMeydan,018-Taksim Meydan,BEYOĞLU,41.0370500000,28.9856600000
Mobil,Otobus 4G,IETT-O2077,IETT Otobus,0.0000000000,0.0000000000
Mobil,Belnet,IETT-BLNT-34FCZ778,Belnet Otobus,0.0000000000,0.0000000000
Kutuphane,Kutuphane,014-Muallim Cevdet Kutuphanesi,KARTAL,40.8865000000,29.1956400000
Mobil,Otobus 4G,IETT-M2560,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-B4034,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-B5062,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-O2161,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-B5252,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M3135,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Ulasim A.S.,IETT-B1760,IETT Otobus,0.0000000000,0.0000000000
Otobus Duragi,Durak,038-Avcilar Sukrubey Otobus Duragi,AVCILAR,40.9801500000,28.7311600000
Tramvay Istasyonu,Istasyon,METRO M2-Tren 24,METRO M2,0.0000000000,0.0000000000
Hizmet Binasi,Itfaiye,007-Gungoren Itfaiye,GÜNGÖREN,41.0168700000,28.8885200000
Hizmet Binasi,Bina,METRO-M4 FEVZICAKMAK,PENDİK,40.8887400000,29.2624000000
Mobil,Otobus 3G,IETT-O3157,IETT Otobus,0.0000000000,0.0000000000
Spor Tesisi,Spor,025-Pendik Sahil Spor Tesisi,PENDİK,40.8761200000,29.2427100000
Mobil,Otobus 4G,IETT-B5198,IETT Otobus,0.0000000000,0.0000000000
Tramvay Istasyonu,Istasyon,METRO M2-Tren 32,METRO M2,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-O3093,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M3173,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-O5014,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-B5035,IETT Otobus,0.0000000000,0.0000000000
Hizmet Binasi,Bina,ISKI-Besiktas,BEŞİKTAŞ,41.1115600000,29.0286100000
Otobus Duragi,Durak,038-Haramidere Otobus Duragi,BEYLİKDÜZÜ,41.0061400000,28.6735000000
Hizmet Binasi,Bina,METRO-M6-04-Hisarustu,BEŞİKTAŞ,41.0851200000,29.0456000000
Hizmet Binasi,Bina,001-Gaziosmanpasa Ozgem,GAZİOSMANPAŞA,41.0574200000,28.9156900000
Mobil,Otobus 4G,IETT-O3285,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M3101,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-O2111,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-O5003,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Otobus 3G,IETT-K1688,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-O5026,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Otobus 3G,IETT-O2278,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-B5010,IETT Otobus,0.0000000000,0.0000000000
Diger,AvrupaMeydan,018-Sisli Camii Onu,ŞİŞLİ,41.0603300000,28.9872800000
Mobil,Otobus 4G,IETT-B5329,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M4896,IETT Metrobus,0.0000000000,0.0000000000
Kutuphane,Kutuphane,014-Sefakoy Metin And Kutuphanesi,KÜÇÜKÇEKMECE,40.9979700000,28.7927200000
Mobil,Otobus 4G,IETT-O2026,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-O1054,IETT Otobus,0.0000000000,0.0000000000
Kutuphane,Kutuphane,014-Arnavutkoy Bogazkoy Cemil Meric Kutuphanesi,ARNAVUTKÖY,41.1868100000,28.7638600000
Mobil,Otobus 4G,IETT-K1036,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 3G,IETT-O3166,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-O2231,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 3G,IETT-O3180,IETT Otobus,0.0000000000,0.0000000000
Hizmet Binasi,Bina,001-IBB Kartal Meslek Hastaliklari Danisma Merkezi,KARTAL,40.9180800000,29.2113200000
Ismek,Ismek,ISMEK-Mecidiyekoy Dil Okulu,ŞİŞLİ,41.0618000000,28.9946200000
Mobil,Otobus 4G,IETT-O1240,IETT Otobus,0.0000000000,0.0000000000
Hizmet Binasi,Itfaiye,007-Umraniye Itfaiye,ÜMRANİYE,41.0161600000,29.1279700000
Diger,AnadoluMeydan,018-Beykoz Kanlica Sahil,BEYKOZ,41.0997300000,29.0659200000
Mobil,Otobus 4G,IETT-O1151,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 3G,IETT-K1592,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-M2255,IETT Otobus,0.0000000000,0.0000000000
Hizmet Binasi,Bina,ISKI-Arnavutkoy,ARNAVUTKÖY,41.2006000000,28.7283900000
Mobil,Otobus 4G,IETT-K1199,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-M2055,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-K1086,IETT Otobus,0.0000000000,0.0000000000
Koyler,Koy,070-Silivri Buyuk Sinekli Koyu Meydan,SİLİVRİ,41.2286700000,28.1894400000
Mobil,Otobus 4G,IETT-B5255,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M3167,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Otobus 3G,IETT-O3276,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M3227,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-O1253,IETT Otobus,0.0000000000,0.0000000000
Yesil Alan,ParkBahceler,032-Uskudar Dogancilar Park Ve Bahceler Sefligi,ÜSKÜDAR,41.0190900000,29.0131400000
Mobil,Otobus 4G,IETT-O2140,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M3105,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M4908,IETT Metrobus,0.0000000000,0.0000000000
Kutuphane,Kutuphane,014-IBB Troleybus Kutuphanesi,FATİH,41.0119800000,28.9621100000
Mobil,Otobus 4G,IETT-B5066,IETT Otobus,0.0000000000,0.0000000000
Mobil,Ulasim A.S.,IETT-C1542,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M4656,IETT Metrobus,0.0000000000,0.0000000000
Hizmet Binasi,Bina,001-Buyukada Ek Hizmet Binasi Destek Hizmetleri,ADALAR,40.8741400000,29.1287700000
Mobil,Otobus 4G,IETT-O1181,IETT Otobus,0.0000000000,0.0000000000
Hizmet Binasi,Bina,059-Selimiye Karacaahmet Mezarliklar,ÜSKÜDAR,41.0132500000,29.0243900000
Mobil,Metrobus,Metrobus-M3009,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Otobus 3G,IETT-O3217,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M3103,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M3012,IETT Metrobus,0.0000000000,0.0000000000
,,063-IBB Avcilar Kiz Ogrenci Yurdu 3,AVCILAR,40.9907800000,28.7207800000
Mobil,Metrobus,Metrobus-M4849,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-T1091,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M3093,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Otobus 3G,IETT-O3205,IETT Otobus,0.0000000000,0.0000000000
Sosyal Tesis,Sosyal,024-Umraniye Tantavi Sosyal Tesisleri,ÜMRANİYE,41.0270000000,29.0833600000
Koyler,Koy,070-Sile Kizilca Koyu Meydan,ŞİLE,41.1568100000,29.5443200000
Sosyal Tesis,Sosyal,024-Kucukcekmece Sosyal Tesisleri,KÜÇÜKÇEKMECE,40.9999000000,28.7653000000
Mobil,Otobus 3G,IETT-K1532,IETT Otobus,0.0000000000,0.0000000000
Mobil,Ulasim A.S.,IETT-B1517,IETT Otobus,0.0000000000,0.0000000000
Spor Tesisi,Spor,025-Atakoy Sinan Erdem Spor Salonu,BAKIRKÖY,40.9884900000,28.8535000000
Mobil,Metrobus,Metrobus-M3120,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M4693,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-O3229,IETT Otobus,0.0000000000,0.0000000000
Kutuphane,Kutuphane,014-Avcilar Sabahattin Eyyuboglu Kutuphanesi,AVCILAR,41.0011900000,28.7113400000
